Date,Close,RollingVolatility,Year,Date.y,RiskFreeRate,TotalDebt,EffectiveDebt,EstimatedAssetValue,EstimatedAssetVolatility,r,d2,ApproxDefaultProbability
2023-03-13,4.13,0.4938724054109465,2023,2023-05-01,1.4,2232600000,446520000,446520004.13,4.5679768330230775e-9,0.013999999999999999,3064816.1672134693,0
2023-03-20,4.36,0.4964862734371424,2023,2023-02-01,1.19,2232600000,446520000,446520004.36,4.84789064554586e-9,0.011899999999999999,2454677.8453704594,0
2023-03-20,4.36,0.4964862734371424,2023,2023-03-01,1.68,2232600000,446520000,446520004.36,4.84789064554586e-9,0.0168,3465426.7170476737,0
2023-03-20,4.36,0.4964862734371424,2023,2023-04-03,1.13,2232600000,446520000,446520004.36,4.84789064554586e-9,0.0113,2330912.677409984,0
2023-03-20,4.36,0.4964862734371424,2023,2023-05-01,1.4,2232600000,446520000,446520004.36,4.84789064554586e-9,0.013999999999999999,2887855.9332321226,0
2023-03-27,4.71,0.5003754707849172,2023,2023-02-01,1.19,2232600000,446520000,446520004.71,5.2780803604255166e-9,0.011899999999999999,2254609.5806847797,0
2023-03-27,4.71,0.5003754707849172,2023,2023-03-01,1.68,2232600000,446520000,446520004.71,5.2780803604255166e-9,0.0168,3182977.408643535,0
2023-03-27,4.71,0.5003754707849172,2023,2023-04-03,1.13,2232600000,446520000,446520004.71,5.2780803604255166e-9,0.0113,2140931.8874653406,0
2023-03-27,4.71,0.5003754707849172,2023,2023-05-01,1.4,2232600000,446520000,446520004.71,5.2780803604255166e-9,0.013999999999999999,2652481.5069528176,0
2023-04-03,5.04,0.504373963343688,2023,2023-03-01,1.68,2232600000,446520000,446520005.04,5.6930143029637986e-9,0.0168,2950987.0155327427,0
2023-04-03,5.04,0.504373963343688,2023,2023-04-03,1.13,2232600000,446520000,446520005.04,5.6930143029637986e-9,0.0113,1984890.7250075834,0
2023-04-03,5.04,0.504373963343688,2023,2023-05-01,1.4,2232600000,446520000,446520005.04,5.6930143029637986e-9,0.013999999999999999,2459156.176719934,0
